year_num,month_num,month_name,service_name,total_requests,compliant_count,sla_compliance_pct
2024,4,April,Medical Certificate Request,3,2,66.67
2024,4,April,Passport Application,2,2,100.0
2024,4,April,Public Housing Maintenance,3,2,66.67
2024,4,April,School Enrollment,5,3,60.0
2024,4,April,Tax Filing Assistance,4,4,100.0
2024,4,April,Traffic Fine Dispute,1,1,100.0
2024,4,April,Vehicle Registration,5,3,60.0
2024,4,April,Visa Application,3,1,33.33
2024,4,April,Waste Collection Request,1,1,100.0
2024,5,May,Academic Certificate Request,5,4,80.0
2024,5,May,Building Permit Application,4,4,100.0
2024,5,May,Business Grant Application,3,3,100.0
2024,5,May,Health Card Registration,1,1,100.0
2024,5,May,Labour Complaint Filing,6,3,50.0
2024,5,May,Medical Appointment Booking,4,4,100.0
2024,5,May,Medical Certificate Request,3,2,66.67
2024,5,May,Passport Application,1,1,100.0
2024,5,May,Public Housing Maintenance,5,5,100.0
2024,5,May,School Enrollment,2,2,100.0
2024,5,May,Tax Filing Assistance,3,2,66.67
2024,5,May,Traffic Fine Dispute,6,5,83.33
2024,5,May,Vehicle Registration,6,2,33.33
2024,5,May,Visa Application,3,2,66.67
2024,5,May,Waste Collection Request,4,3,75.0
2024,6,June,Academic Certificate Request,5,4,80.0
2024,6,June,Building Permit Application,3,3,100.0
2024,6,June,Business Grant Application,4,2,50.0
2024,6,June,Driving License Renewal,1,1,100.0
2024,6,June,Health Card Registration,1,1,100.0
2024,6,June,Labour Complaint Filing,3,0,0.0
2024,6,June,Medical Appointment Booking,2,0,0.0
2024,6,June,Medical Certificate Request,4,3,75.0
2024,6,June,Passport Application,3,3,100.0
2024,6,June,Public Housing Maintenance,3,2,66.67
2024,6,June,School Enrollment,1,1,100.0
2024,6,June,Tax Filing Assistance,3,3,100.0
2024,6,June,Traffic Fine Dispute,4,3,75.0
2024,6,June,Visa Application,3,2,66.67
2024,6,June,Waste Collection Request,1,1,100.0
2024,7,July,Academic Certificate Request,6,4,66.67
2024,7,July,Building Permit Application,7,4,57.14
2024,7,July,Driving License Renewal,3,3,100.0
2024,7,July,Health Card Registration,5,4,80.0
2024,7,July,Labour Complaint Filing,4,3,75.0
2024,7,July,Medical Appointment Booking,4,3,75.0
2024,7,July,Medical Certificate Request,4,2,50.0
2024,7,July,Passport Application,1,0,0.0
2024,7,July,Public Housing Maintenance,3,2,66.67
2024,7,July,School Enrollment,1,1,100.0
2024,7,July,Tax Filing Assistance,2,1,50.0
2024,7,July,Traffic Fine Dispute,2,1,50.0
2024,7,July,Vehicle Registration,2,2,100.0
2024,7,July,Visa Application,5,2,40.0
2024,7,July,Waste Collection Request,3,2,66.67
2024,8,August,Academic Certificate Request,1,0,0.0
2024,8,August,Building Permit Application,3,2,66.67
2024,8,August,Business Grant Application,3,1,33.33
2024,8,August,Driving License Renewal,3,3,100.0
2024,8,August,Health Card Registration,7,6,85.71
2024,8,August,Labour Complaint Filing,2,2,100.0
2024,8,August,Medical Appointment Booking,5,4,80.0
2024,8,August,Medical Certificate Request,7,6,85.71
2024,8,August,Passport Application,1,1,100.0
2024,8,August,Public Housing Maintenance,4,3,75.0
2024,8,August,School Enrollment,1,0,0.0
2024,8,August,Tax Filing Assistance,1,1,100.0
2024,8,August,Traffic Fine Dispute,4,4,100.0
2024,8,August,Vehicle Registration,7,6,85.71
2024,8,August,Visa Application,2,1,50.0
2024,8,August,Waste Collection Request,3,3,100.0
2024,9,September,Academic Certificate Request,4,4,100.0
2024,9,September,Building Permit Application,2,2,100.0
2024,9,September,Business Grant Application,2,2,100.0
2024,9,September,Driving License Renewal,4,3,75.0
2024,9,September,Health Card Registration,3,1,33.33
2024,9,September,Labour Complaint Filing,2,2,100.0
2024,9,September,Medical Appointment Booking,1,1,100.0
2024,9,September,Medical Certificate Request,5,4,80.0
2024,9,September,Passport Application,5,4,80.0
2024,9,September,Public Housing Maintenance,6,4,66.67
2024,9,September,School Enrollment,3,1,33.33
2024,9,September,Tax Filing Assistance,5,5,100.0
2024,9,September,Traffic Fine Dispute,1,1,100.0
2024,9,September,Vehicle Registration,3,3,100.0
2024,9,September,Visa Application,3,3,100.0
2024,9,September,Waste Collection Request,4,4,100.0
2024,10,October,Academic Certificate Request,1,1,100.0
2024,10,October,Building Permit Application,7,5,71.43
2024,10,October,Business Grant Application,1,1,100.0
2024,10,October,Driving License Renewal,2,2,100.0
2024,10,October,Health Card Registration,6,5,83.33
2024,10,October,Labour Complaint Filing,6,5,83.33
2024,10,October,Medical Appointment Booking,5,4,80.0
2024,10,October,Medical Certificate Request,5,2,40.0
2024,10,October,Passport Application,4,4,100.0
2024,10,October,Public Housing Maintenance,2,2,100.0
2024,10,October,School Enrollment,2,1,50.0
2024,10,October,Tax Filing Assistance,2,2,100.0
2024,10,October,Traffic Fine Dispute,3,3,100.0
2024,10,October,Vehicle Registration,4,3,75.0
2024,10,October,Visa Application,4,4,100.0
2024,10,October,Waste Collection Request,3,2,66.67
2024,11,November,Academic Certificate Request,4,3,75.0
2024,11,November,Building Permit Application,1,1,100.0
2024,11,November,Business Grant Application,1,1,100.0
2024,11,November,Driving License Renewal,4,4,100.0
2024,11,November,Health Card Registration,3,2,66.67
2024,11,November,Labour Complaint Filing,7,7,100.0
2024,11,November,Medical Appointment Booking,3,3,100.0
2024,11,November,Medical Certificate Request,3,1,33.33
2024,11,November,Passport Application,1,0,0.0
2024,11,November,Public Housing Maintenance,3,2,66.67
2024,11,November,School Enrollment,4,2,50.0
2024,11,November,Tax Filing Assistance,1,1,100.0
2024,11,November,Traffic Fine Dispute,3,2,66.67
2024,11,November,Vehicle Registration,2,1,50.0
2024,11,November,Visa Application,3,2,66.67
2024,11,November,Waste Collection Request,4,2,50.0
2024,12,December,Academic Certificate Request,7,6,85.71
2024,12,December,Building Permit Application,7,6,85.71
2024,12,December,Business Grant Application,4,2,50.0
2024,12,December,Driving License Renewal,4,4,100.0
2024,12,December,Health Card Registration,1,0,0.0
2024,12,December,Labour Complaint Filing,4,4,100.0
2024,12,December,Medical Appointment Booking,2,2,100.0
2024,12,December,Medical Certificate Request,4,3,75.0
2024,12,December,Passport Application,4,2,50.0
2024,12,December,Public Housing Maintenance,2,2,100.0
2024,12,December,School Enrollment,1,1,100.0
2024,12,December,Tax Filing Assistance,3,2,66.67
2024,12,December,Traffic Fine Dispute,4,3,75.0
2024,12,December,Vehicle Registration,3,2,66.67
2024,12,December,Visa Application,5,2,40.0
2024,12,December,Waste Collection Request,6,3,50.0
2025,1,January,Academic Certificate Request,4,4,100.0
2025,1,January,Building Permit Application,5,3,60.0
2025,1,January,Business Grant Application,7,7,100.0
2025,1,January,Driving License Renewal,1,1,100.0
2025,1,January,Health Card Registration,2,2,100.0
2025,1,January,Medical Appointment Booking,1,1,100.0
2025,1,January,Medical Certificate Request,2,2,100.0
2025,1,January,Passport Application,1,1,100.0
2025,1,January,Public Housing Maintenance,1,1,100.0
2025,1,January,School Enrollment,1,1,100.0
2025,1,January,Tax Filing Assistance,3,2,66.67
2025,1,January,Traffic Fine Dispute,5,3,60.0
2025,1,January,Vehicle Registration,2,2,100.0
2025,1,January,Visa Application,2,1,50.0
2025,1,January,Waste Collection Request,1,1,100.0
2025,2,February,Academic Certificate Request,1,1,100.0
2025,2,February,Building Permit Application,2,1,50.0
2025,2,February,Business Grant Application,2,1,50.0
2025,2,February,Driving License Renewal,4,3,75.0
2025,2,February,Health Card Registration,2,1,50.0
2025,2,February,Labour Complaint Filing,2,1,50.0
2025,2,February,Medical Appointment Booking,3,2,66.67
2025,2,February,Medical Certificate Request,4,3,75.0
2025,2,February,Passport Application,1,1,100.0
2025,2,February,Public Housing Maintenance,4,2,50.0
2025,2,February,Tax Filing Assistance,5,3,60.0
2025,2,February,Traffic Fine Dispute,1,1,100.0
2025,2,February,Vehicle Registration,1,1,100.0
2025,2,February,Visa Application,3,1,33.33
2025,2,February,Waste Collection Request,1,1,100.0
2025,3,March,Academic Certificate Request,3,2,66.67
2025,3,March,Building Permit Application,3,3,100.0
2025,3,March,Business Grant Application,4,4,100.0
2025,3,March,Driving License Renewal,4,2,50.0
2025,3,March,Health Card Registration,1,1,100.0
2025,3,March,Labour Complaint Filing,4,3,75.0
2025,3,March,Medical Appointment Booking,4,3,75.0
2025,3,March,Medical Certificate Request,6,3,50.0
2025,3,March,Passport Application,5,4,80.0
2025,3,March,Public Housing Maintenance,4,3,75.0
2025,3,March,School Enrollment,5,4,80.0
2025,3,March,Tax Filing Assistance,1,1,100.0
2025,3,March,Traffic Fine Dispute,2,2,100.0
2025,3,March,Vehicle Registration,1,0,0.0
2025,3,March,Visa Application,2,1,50.0
2025,3,March,Waste Collection Request,4,4,100.0
2025,4,April,Academic Certificate Request,5,4,80.0
2025,4,April,Business Grant Application,2,2,100.0
2025,4,April,Driving License Renewal,5,5,100.0
2025,4,April,Health Card Registration,5,4,80.0
2025,4,April,Labour Complaint Filing,3,2,66.67
2025,4,April,Medical Appointment Booking,5,5,100.0
2025,4,April,Medical Certificate Request,2,2,100.0
2025,4,April,Passport Application,4,3,75.0
2025,4,April,Public Housing Maintenance,4,2,50.0
2025,4,April,School Enrollment,4,3,75.0
2025,4,April,Tax Filing Assistance,2,1,50.0
2025,4,April,Traffic Fine Dispute,2,2,100.0
2025,4,April,Vehicle Registration,4,3,75.0
2025,4,April,Visa Application,3,3,100.0
2025,4,April,Waste Collection Request,3,3,100.0
2025,5,May,Academic Certificate Request,3,1,33.33
2025,5,May,Building Permit Application,2,1,50.0
2025,5,May,Business Grant Application,3,1,33.33
2025,5,May,Driving License Renewal,3,3,100.0
2025,5,May,Health Card Registration,4,4,100.0
2025,5,May,Labour Complaint Filing,6,6,100.0
2025,5,May,Medical Appointment Booking,2,2,100.0
2025,5,May,Medical Certificate Request,2,2,100.0
2025,5,May,Passport Application,2,2,100.0
2025,5,May,Public Housing Maintenance,1,1,100.0
2025,5,May,School Enrollment,2,1,50.0
2025,5,May,Tax Filing Assistance,1,0,0.0
2025,5,May,Traffic Fine Dispute,1,0,0.0
2025,5,May,Vehicle Registration,4,2,50.0
2025,5,May,Visa Application,6,4,66.67
2025,5,May,Waste Collection Request,5,5,100.0
2025,6,June,Academic Certificate Request,4,4,100.0
2025,6,June,Building Permit Application,2,2,100.0
2025,6,June,Business Grant Application,6,5,83.33
2025,6,June,Driving License Renewal,5,4,80.0
2025,6,June,Health Card Registration,4,3,75.0
2025,6,June,Labour Complaint Filing,3,1,33.33
2025,6,June,Medical Appointment Booking,1,1,100.0
2025,6,June,Medical Certificate Request,3,2,66.67
2025,6,June,Passport Application,8,7,87.5
2025,6,June,Public Housing Maintenance,4,4,100.0
2025,6,June,School Enrollment,5,4,80.0
2025,6,June,Tax Filing Assistance,4,2,50.0
2025,6,June,Traffic Fine Dispute,5,5,100.0
2025,6,June,Vehicle Registration,3,3,100.0
2025,6,June,Visa Application,3,2,66.67
2025,6,June,Waste Collection Request,3,2,66.67
2025,7,July,Academic Certificate Request,4,2,50.0
2025,7,July,Building Permit Application,8,7,87.5
2025,7,July,Business Grant Application,4,3,75.0
2025,7,July,Driving License Renewal,4,2,50.0
2025,7,July,Health Card Registration,3,3,100.0
2025,7,July,Labour Complaint Filing,2,2,100.0
2025,7,July,Medical Appointment Booking,3,2,66.67
2025,7,July,Medical Certificate Request,3,2,66.67
2025,7,July,Tax Filing Assistance,5,3,60.0
2025,7,July,Traffic Fine Dispute,6,5,83.33
2025,7,July,Vehicle Registration,2,1,50.0
2025,7,July,Visa Application,4,3,75.0
2025,7,July,Waste Collection Request,3,2,66.67
2025,8,August,Academic Certificate Request,4,3,75.0
2025,8,August,Building Permit Application,2,2,100.0
2025,8,August,Driving License Renewal,3,2,66.67
2025,8,August,Health Card Registration,6,4,66.67
2025,8,August,Labour Complaint Filing,3,2,66.67
2025,8,August,Medical Appointment Booking,4,4,100.0
2025,8,August,Medical Certificate Request,2,1,50.0
2025,8,August,Passport Application,6,3,50.0
2025,8,August,Public Housing Maintenance,7,6,85.71
2025,8,August,School Enrollment,6,2,33.33
2025,8,August,Tax Filing Assistance,2,1,50.0
2025,8,August,Traffic Fine Dispute,6,4,66.67
2025,8,August,Vehicle Registration,1,0,0.0
2025,8,August,Visa Application,1,1,100.0
2025,8,August,Waste Collection Request,4,2,50.0
2025,9,September,Academic Certificate Request,1,1,100.0
2025,9,September,Building Permit Application,3,3,100.0
2025,9,September,Business Grant Application,2,2,100.0
2025,9,September,Driving License Renewal,5,3,60.0
2025,9,September,Health Card Registration,1,1,100.0
2025,9,September,Labour Complaint Filing,3,2,66.67
2025,9,September,Medical Appointment Booking,6,6,100.0
2025,9,September,Medical Certificate Request,4,4,100.0
2025,9,September,Passport Application,1,1,100.0
2025,9,September,Public Housing Maintenance,5,4,80.0
2025,9,September,School Enrollment,5,4,80.0
2025,9,September,Tax Filing Assistance,3,3,100.0
2025,9,September,Traffic Fine Dispute,2,1,50.0
2025,9,September,Vehicle Registration,2,1,50.0
2025,9,September,Visa Application,2,2,100.0
2025,9,September,Waste Collection Request,2,2,100.0
2025,10,October,Academic Certificate Request,4,3,75.0
2025,10,October,Building Permit Application,6,5,83.33
2025,10,October,Business Grant Application,1,1,100.0
2025,10,October,Driving License Renewal,2,2,100.0
2025,10,October,Health Card Registration,6,6,100.0
2025,10,October,Labour Complaint Filing,5,5,100.0
2025,10,October,Medical Appointment Booking,6,4,66.67
2025,10,October,Medical Certificate Request,1,1,100.0
2025,10,October,Passport Application,2,0,0.0
2025,10,October,Public Housing Maintenance,3,2,66.67
2025,10,October,School Enrollment,5,1,20.0
2025,10,October,Tax Filing Assistance,1,1,100.0
2025,10,October,Traffic Fine Dispute,3,3,100.0
2025,10,October,Vehicle Registration,3,2,66.67
2025,10,October,Visa Application,3,3,100.0
2025,10,October,Waste Collection Request,2,1,50.0
2025,11,November,Academic Certificate Request,4,3,75.0
2025,11,November,Building Permit Application,8,5,62.5
2025,11,November,Business Grant Application,1,1,100.0
2025,11,November,Driving License Renewal,2,2,100.0
2025,11,November,Health Card Registration,2,2,100.0
2025,11,November,Labour Complaint Filing,3,3,100.0
2025,11,November,Medical Appointment Booking,1,1,100.0
2025,11,November,Medical Certificate Request,4,3,75.0
2025,11,November,Passport Application,2,1,50.0
2025,11,November,Public Housing Maintenance,5,4,80.0
2025,11,November,School Enrollment,3,1,33.33
2025,11,November,Tax Filing Assistance,2,1,50.0
2025,11,November,Traffic Fine Dispute,1,1,100.0
2025,11,November,Vehicle Registration,3,3,100.0
2025,11,November,Visa Application,3,1,33.33
2025,11,November,Waste Collection Request,4,2,50.0
2025,12,December,Academic Certificate Request,5,3,60.0
2025,12,December,Building Permit Application,2,2,100.0
2025,12,December,Business Grant Application,3,1,33.33
2025,12,December,Driving License Renewal,5,4,80.0
2025,12,December,Health Card Registration,2,2,100.0
2025,12,December,Labour Complaint Filing,2,1,50.0
2025,12,December,Medical Appointment Booking,3,2,66.67
2025,12,December,Medical Certificate Request,6,4,66.67
2025,12,December,Passport Application,3,2,66.67
2025,12,December,Public Housing Maintenance,1,1,100.0
2025,12,December,School Enrollment,1,1,100.0
2025,12,December,Tax Filing Assistance,4,4,100.0
2025,12,December,Traffic Fine Dispute,4,3,75.0
2025,12,December,Vehicle Registration,2,1,50.0
2025,12,December,Visa Application,3,3,100.0
2025,12,December,Waste Collection Request,1,1,100.0
